sid_id,question_id,grade,skills_id
1,1,0.0,1
4,1,0.0,1
4,1,0.0,1
4,1,0.0,1
1,2,0.0,1
4,2,0.0,1
1,3,2.0,1
4,3,0.0,1
1,4,2.0,1
4,4,0.0,1
1,5,0.0,1
4,5,0.0,1
1,6,2.0,1
4,6,0.0,1
1,7,0.0,1
4,7,0.0,1
1,8,0.0,2
4,8,0.0,2
1,9,2.0,2
4,9,0.0,2
1,10,0.0,2
4,10,0.0,2
1,11,2.0,2
4,11,0.0,2
1,12,0.0,2
4,12,0.0,2
1,13,2.0,3
4,13,2.0,3
1,14,2.0,3
4,14,2.0,3
1,15,2.0,3
4,15,2.0,3
1,16,2.0,3
4,16,2.0,3
4,32,0.0,4
1,32,0.0,4
4,33,2.0,4
1,33,2.0,4
4,34,0.0,4
1,34,0.0,4
4,38,2.0,4
1,38,2.0,4
4,39,2.0,4
1,39,0.0,4
4,40,2.0,4
1,40,2.0,4
4,41,2.0,4
1,41,2.0,4
4,43,0.0,4
1,43,0.0,4
4,44,0.0,4
1,44,0.0,4
1,17,0.0,5
4,17,0.0,5
4,17,2.0,5
1,17,2.0,5
1,18,0.0,5
4,18,0.0,5
4,18,2.0,5
1,18,2.0,5
4,19,0.0,5
1,19,0.0,5
4,20,2.0,5
1,20,0.0,5
4,21,2.0,5
1,21,2.0,5
4,31,0.0,6
1,31,0.0,6
4,35,2.0,6
1,35,0.0,6
4,42,0.0,6
1,42,2.0,6
4,36,2.0,7
1,36,0.0,7
4,37,0.0,7
1,37,2.0,7
4,45,0.0,8
1,45,0.0,8
4,46,0.0,8
1,46,0.0,8
4,47,0.0,8
1,47,0.0,8
4,48,0.0,8
1,48,0.0,8
4,49,0.0,8
1,49,0.0,8
4,50,0.0,8
1,50,0.0,8
4,51,0.0,8
1,51,0.0,8
4,52,0.0,8
1,52,0.0,8
4,53,2.0,8
1,53,2.0,8
4,54,0.0,8
1,54,0.0,8
4,55,2.0,8
1,55,2.0,8
4,56,0.0,8
1,56,0.0,8
4,57,0.0,8
1,57,0.0,8
4,58,0.0,8
1,58,0.0,8
4,59,2.0,8
1,59,2.0,8
4,60,2.0,8
1,60,2.0,8
4,61,0.0,8
1,61,0.0,8
4,62,0.0,8
1,62,0.0,8
4,63,0.0,8
1,63,0.0,8
4,64,0.0,8
1,64,0.0,8
4,65,0.0,9
1,65,0.0,9
5,65,0.0,9
4,66,0.0,9
1,66,0.0,9
5,66,0.0,9
4,67,0.0,9
1,67,0.0,9
5,67,0.0,9
4,68,0.0,9
1,68,2.0,9
5,68,2.0,9
4,69,0.0,9
1,69,2.0,9
5,69,0.0,9
4,70,0.0,9
1,70,0.0,9
5,70,0.0,9
4,22,0.0,10
1,22,2.0,10
4,23,2.0,10
1,23,2.0,10
4,24,2.0,10
1,24,2.0,10
4,25,0.0,10
1,25,2.0,10
4,26,2.0,10
1,26,2.0,10
4,27,0.0,10
1,27,0.0,10
4,28,2.0,10
1,28,2.0,10
4,29,0.0,10
1,29,0.0,10
4,30,0.0,10
1,30,0.0,10
4,71,0.0,11
1,71,0.0,11
4,72,2.0,11
1,72,2.0,11
4,73,2.0,11
1,73,2.0,11
4,74,2.0,11
1,74,2.0,11
4,75,2.0,11
1,75,0.0,11
4,76,2.0,11
1,76,2.0,11
4,77,0.0,11
1,77,0.0,11
4,78,0.0,11
1,78,0.0,11
4,79,0.0,11
1,79,0.0,11
4,80,2.0,11
1,80,0.0,11
4,81,2.0,11
1,81,2.0,11
4,82,2.0,11
1,82,0.0,11
4,83,0.0,11
1,83,0.0,11
4,84,2.0,11
1,84,2.0,11
